ID,Submitted At,Status,Company Name,Product Category,Business Description,Contact Name,Contact Email,Contact Phone,Fair Name,Fair Status,House Number,Reviewed By,Reviewed At,Rejection Reason,Admin Notes
dca1c2c4-035e-42b8-850f-fca5daf5fd8f,"16 Jan 2026, 16:09",rejected,Fresh Bites Kitchen,Yemək və İçkilər,Fresh Bites Kitchen is a quality provider of food beverages products.,Fresh Vendor,test-vendor-1768374646143-1@test.com,,Winter 2026,upcoming,H-102,Admin User,"16 Jan 2026, 16:12",Incomplete documentation,
37480eb4-e28c-47ad-9c80-9c5d5ebf8484,"16 Jan 2026, 16:08",approved,Fresh Bites Kitchen,Yemək və İçkilər,Fresh Bites Kitchen is a quality provider of food beverages products.,Fresh Vendor,test-vendor-1768374646143-1@test.com,,Winter 2026,upcoming,H-103,Admin User,"16 Jan 2026, 16:11",,
ba5e7103-b7e6-487c-a49b-8d2dd35fcedd,"16 Jan 2026, 15:56",rejected,Test Company AZ,Əl işləri,Test business for az email notification testing,Azərbaycanca Test Vendor,test-email-lang-1768564576565@test.com,,Spring Festival 2026,upcoming,H-102,Admin User,"16 Jan 2026, 15:57",House is no longer available - Testing Azerbaijani email notification,
782c02a0-9f7d-4e3d-8454-61fe5b6fa7b1,"16 Jan 2026, 15:56",approved,Test Company EN,Əl işləri,Test business for en email notification testing,English Test Vendor,test-email-lang-1768564560253@test.com,,Spring Festival 2026,upcoming,H-102,Admin User,"16 Jan 2026, 15:56",,
8690631a-f16c-4434-a5de-49cf823bb320,"16 Jan 2026, 07:34",approved,Fresh Bites Kitchen,Yemək və İçkilər,Fresh Bites Kitchen is a quality provider of food beverages products.,Fresh Vendor,test-vendor-1768545968472-1@test.com,,Winter 2026,upcoming,H-102,Admin User,"16 Jan 2026, 10:46",,
4b96ba5b-5ddf-4f11-b5bf-eee49f6d39cb,"15 Jan 2026, 20:32",rejected,Fashion Forward,Geyim,Fashion Forward is a quality provider of clothing products.,Fashion Vendor,test-vendor-1768545968497-2@test.com,,Winter 2026,upcoming,H-103,Admin User,"16 Jan 2026, 10:46",Incomplete documentation,
6f08b240-0ebc-45a0-864f-50ddcd22a5ab,"14 Jan 2026, 20:09",rejected,Artisan Crafts Co,Əl işləri,Artisan Crafts Co is a quality provider of handicrafts products.,Artisan Vendor,test-vendor-1768545968446-0@test.com,,Winter 2026,upcoming,H-101,Admin User,"17 Jan 2026, 21:42",Testing specific success messages,
6302f7d0-7cd4-4c66-8ee7-67293012a029,"14 Jan 2026, 17:26",approved,Test Company,Digər,Test business for booking verification,Test Vendor,test-vendor-1768397173548@test.com,,TEST_ARCHIVE_FAIR_59,archived,TEST-HOUSE-1768397173630,Admin User,"14 Jan 2026, 17:26",,
24e93405-00ab-44c1-8afd-c6ac949bd17f,"14 Jan 2026, 13:56",approved,Fresh Bites Kitchen,Yemək və İçkilər,Fresh Bites Kitchen is a quality provider of food beverages products.,Fresh Vendor,test-vendor-1768374646143-1@test.com,,Spring Festival 2026,upcoming,H-101,,"14 Jan 2026, 13:56",,
1ea32ed7-108c-4b8b-9330-4916bab12dc1,"14 Jan 2026, 13:53",approved,,Əl işləri,TEST_PROFILE_126 - Premium handcrafted goods made with traditional Azerbaijani techniques. Specializing in unique artisan products.,Vendor,test-vendor-1768374646124-0@test.com,+994501234567,Winter 2026,upcoming,H-104,,"14 Jan 2026, 13:53",,
800d56b5-c6bf-4ed9-aa8d-e85f4b4f5506,"13 Jan 2026, 01:51",rejected,Spring Delights,Yemək və İçkilər,Spring Delights is a quality provider of food beverages products.,Spring Vendor,test-vendor-1768545968522-3@test.com,,Spring Festival 2026,upcoming,H-104,Admin User,"23 Jan 2026, 10:39",Testing status progression - house already booked,
86955651-3ab5-4240-abae-9cf62682699b,"12 Jan 2026, 07:42",approved,,Əl işləri,TEST_PROFILE_126 - Premium handcrafted goods made with traditional Azerbaijani techniques. Specializing in unique artisan products.,Vendor,test-vendor-1768374646124-0@test.com,+994501234567,Winter 2026,upcoming,H-101,Admin User,"14 Jan 2026, 13:30",,"Application reviewed and approved. Documentation complete.

Updated note: This vendor has excellent product quality. Recommended for future fairs."
72abb17e-2307-44b5-8473-eabd507a487f,"11 Jan 2026, 15:47",rejected,Winter Food Vendor,Yemək və İçkilər,Winter Food Vendor is a quality provider of food beverages products.,Winter Vendor,test-vendor-1768374646193-4@test.com,,Winter 2026,upcoming,H-101,Admin User,"14 Jan 2026, 13:35",Business documentation is incomplete. Please resubmit with valid business license and product certifications.,
96950312-4f41-42e6-ad23-1e95017a8e80,"09 Jan 2026, 15:31",pending,Winter Food Vendor,Yemək və İçkilər,Winter Food Vendor is a quality provider of food beverages products.,Winter Vendor,test-vendor-1768545968547-4@test.com,,Winter 2026,upcoming,H-101,,,,
402ed15a-6979-4d0f-91ad-23a631e34810,"09 Jan 2026, 14:56",rejected,Fashion Forward,Geyim,Fashion Forward is a quality provider of clothing products.,Fashion Vendor,test-vendor-1768374646160-2@test.com,,Winter 2026,upcoming,H-103,Admin User,"14 Jan 2026, 11:10",Incomplete documentation,
b4ad8df5-ecc3-4ec6-b5e6-e0e9af0c0044,"08 Jan 2026, 06:50",approved,Spring Delights,Yemək və İçkilər,Spring Delights is a quality provider of food beverages products.,Spring Vendor,test-vendor-1768374646176-3@test.com,,Spring Festival 2026,upcoming,H-104,Admin User,"14 Jan 2026, 11:21",,Approved for Spring Festival 2026 - Test verification
